"","x"
"Malat1",9.09933033439716
"Calm1",5.41194769393512
"Hsp90ab1",5.05949247409943
"Ppia",4.9697724635091
"Hsp90aa1",4.92676120688771
"Tmsb4x",4.87492195533282
"Actb",4.86580965814937
"Calm2",4.80952109011182
"Fth1",4.78546203509812
"App",4.72279610169099
"Tuba1a",4.36781465313264
"Rps29",4.111668339375
"Meg3",4.08174094547042
"Actg1",4.047467720909
"Itm2b",4.03506390570264
"Slc25a4",3.88816918941693
"Syt11",3.75874990031936
"Serinc1",3.71482671286206
"Gpm6a",3.68428139662526
"Atp1b1",3.64999102045833
"Plp1",3.63837246252526
"Dynll1",3.63425897792608
"Ndufa4",3.63348406623808
"Aldoa",3.62833409571003
"Cox8a",3.59688131600709
"Lars2",3.59432818493302
"Atp2b1",3.57321548252615
"Sub1",3.57149122114551
"Rplp1",3.53955779030069
"Cox7c",3.53276088894425
"Eef1a1",3.50081631753
"Gria2",3.4958183552625
"Mdh1",3.47359680759612
"Ddx5",3.4622818049086
"Ckb",3.45997323512545
"Hspa8",3.45923869324831
"Aplp1",3.40452914584483
"Snap25",3.37949160341365
"Son",3.37365349572891
"Cpe",3.37337540710144
"7_9",3.35968180093708
"Ttc3",3.35497030337907
"Usmg5",3.34895717963748
"Ptma",3.34169572419053
"Syt1",3.33156444506813
"Fau",3.31595992355118
"Ywhaz",3.30010496844726
"Cox6b1",3.29659025345613
"Cox6c",3.29526129767596
"Gstp1",3.2936103955123
